UC Natural Reserve,# Unique Species (excluding ssp. & var.),# Taxa including ssp. & var.,Reserve Size (ha),Elevation Low (m),Elevation High (m),Elevation Range (m),Precipitation (cm),Temperature Low (°C),Temperature High (°C),
Año Nuevo Island Reserve (severe pinniped disturbance),0,0,10,0,13,13,50,4,24,24
Santa Cruz Island Reserve (only endemics available),42,45,18624,0,742,742,50,10,22,22
Kendall Frost Mission Bay Marsh Reserve ,55,72,8,0,2,2,22,9,25,25
Younger Lagoon Reserve,87,88,11,0,15,15,62,12,15,15
Coal Oil Point Natural Reserve ,150,151,69,0,12,12,77,6,24,24
Sierra Nevada Aquatic Research Lab (SNARL) ,159,162,22,1250,4012,2762,32,-23,29,29
Fort Ord Natural Reserve ,170,173,245,21,58,37,46,15 (ann. avg.),15 (ann. avg.),15 (ann. avg.)
Kenneth S. Norris Rancho Marino Reserve ,182,182,200,0,216,216,46,.,.,.
Motte Rimrock Reserve ,193,193,289,482,605,123,33,2,37,37
Sagehen Creek Field Station ,218,221,3237,1800,2652,852,88,-10,26,26
James San Jacinto Mountains Reserve ,238,242,12,1623,1692,69,67,-2,29,29
Carpinteria Salt Marsh Reserve ,252,252,49,0,3,3,38,6,24,24
San Joaquin Freshwater Marsh Reserve ,258,258,82,2,3,1,30,4,29,29
Valentine Camp,254,258,62,2437,2605,168,58,-10,25,25
Burns Piñon Ridge Reserve ,264,272,124,1080,1300,220,25,-1,35,35
Scripps Coastal Reserve ,255,290,342,0,113,113,22,8,25,25
Quail Ridge Reserve ,286,292,953,134,462,328,62,8,28,28
Stunt Ranch Santa Monica Mountains Reserve ,296,297,125,392,472,80,61,4,32,32
Dawson Los Monos Canyon Reserve ,280,320,95,67,179,112,21,7,23,23
Stebbins Cold Canyon Reserve ,366,372,258,91,762,671,52,8,28,28
Jepson Prairie Reserve ,383,394,634,2,8,6,47,8,31,31
Elliott Chaparral Reserve ,357,397,43,61,305,244,26,12,22,22
Sedgwick Reserve ,409,421,2388,290,790,500,38,.,.,.
Bodega Marine Reserve ,425,438,221,0,58,58,86,6,18,18
Chickering American River Reserve ,435,459,6829,1830,2470,640,125,-14,30,30
Blue Oak Ranch Reserve ,457,462,1319,454,870,416,60,3,26,26
Angelo Coast Range Reserve ,459,466,1748,378,1290,912,216,16,31,31
Landels Hill Big Creek Reserve ,477,503,1584,0,1220,1220,62,6,29,29
Sweeney Granite Mountains Desert Research Center ,486,504,3496,700,2071,1371,22,-1,33,33
McLaughlin Natural Reserve ,601,630,2853,366,732,366,62,8,25,25
Hastings Natural History Reservation ,635,654,960,467,953,486,53,1,31,31
Boyd Deep Canyon Desert Research Center ,639,668,6737,9,2657,2648,40,10,39,39
Box Springs Reserve ,NA,NA,65,506,745,239,28,NA,NA,NA
Emerson Oaks Reserve ,NA,NA,98,439,640,201,NA,NA,NA,NA
Jenny Pygmy Forest Reserve ,NA,NA,28,180,180,0,98,8,15,15
Yosemite Field Station ,NA,NA,NA,NA,NA,NA,94,12,31,31
