"timestamp","position_lat","position_long","altitude","heart_rate","cadence","temperature","distance","speed","vertical_speed","File_Path","activity","HRzone","datetime","year","date","seconds"
"2020-01-18 18:33:31",41.350113004446,-122.279291991144,NA,NA,NA,NA,NA,NA,NA,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring",NA,"2020-01-18 18:33:31",2020,"2020-01-18","18:33:31"
"2020-01-18 18:33:58",41.3501040358096,-122.279270030558,1504.2,55,64,24,NA,NA,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:33:58",2020,"2020-01-18","18:33:58"
"2020-01-18 18:34:42",41.3501190394163,-122.279255026951,1504.8,62,48,25,NA,NA,0.02,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:34:42",2020,"2020-01-18","18:34:42"
"2020-01-18 18:34:45",41.3501410000026,-122.27924999781,1504.8,62,52,25,NA,NA,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:34:45",2020,"2020-01-18","18:34:45"
"2020-01-18 18:34:47",41.3501639664173,-122.279236000031,1505,64,49,25,7,0.5,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:34:47",2020,"2020-01-18","18:34:47"
"2020-01-18 18:34:49",41.3501850049943,-122.279223008081,1505.2,64,46,25,9,0.8,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:34:49",2020,"2020-01-18","18:34:49"
"2020-01-18 18:34:52",41.3502109888941,-122.279204986989,1505.6,69,46,25,NA,1.1,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:34:52",2020,"2020-01-18","18:34:52"
"2020-01-18 18:34:54",41.350223980844,-122.279185960069,1506,66,43,25,15,1.1,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:34:54",2020,"2020-01-18","18:34:54"
"2020-01-18 18:35:02",41.3502420019358,-122.279182020575,1506.2,67,43,25,NA,0.7,0.04,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:35:02",2020,"2020-01-18","18:35:02"
"2020-01-18 18:35:56",41.3502539880574,-122.279201969504,1507.6,76,0,25,NA,0,0.02,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:35:56",2020,"2020-01-18","18:35:56"
"2020-01-18 18:35:59",41.3502770382911,-122.279190989211,1507.6,74,48,25,NA,0,0.02,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:35:59",2020,"2020-01-18","18:35:59"
"2020-01-18 18:36:01",41.3502959813923,-122.279182020575,1507.8,73,72,25,24,1,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:36:01",2020,"2020-01-18","18:36:01"
"2020-01-18 18:36:03",41.3503119908273,-122.279171040282,1507.8,72,75,25,26,1,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:36:03",2020,"2020-01-18","18:36:03"
"2020-01-18 18:36:05",41.3503300119191,-122.279161987826,1507.8,70,75,25,29,1.1,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:36:05",2020,"2020-01-18","18:36:05"
"2020-01-18 18:36:07",41.3503460213542,-122.279150001705,1508,66,78,25,31,1.1,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:36:07",2020,"2020-01-18","18:36:07"
"2020-01-18 18:36:10",41.3503699935973,-122.279132986441,1508.2,63,40,25,NA,1,0,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:36:10",2020,"2020-01-18","18:36:10"
"2020-01-18 18:36:12",41.3503870088607,-122.279122006148,1508.6,62,40,25,36,1,0.02,"Move_2020_01_18_10_33_29_Ski_touring.fit","SkiTouring","R","2020-01-18 18:36:12",2020,"2020-01-18","18:36:12"
